Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 4 - 	 Ger: 47 - 	 Best:    0.01062 - 	 Mean:    0.62778 - 	 AQreal:   16.18378  	 
Exp: 4 - 	 Ger: 48 - 	 Best:    0.01062 - 	 Mean:    0.62778 - 	 AQreal:   16.18378  	 
Exp: 4 - 	 Ger: 49 - 	 Best:    0.01062 - 	 Mean:    0.62124 - 	 AQreal:   16.18378  	 
Exp: 4 - 	 Ger: 50 - 	 Best:    0.01062 - 	 Mean:    0.62124 - 	 AQreal:   11.38770  	 
Exp: 5 - 	 Ger: 1 - 	 Best:   14.52446 - 	 Mean: 59825.19104 - 	 AQreal:   42.44832  	 
Exp: 5 - 	 Ger: 2 - 	 Best:   14.52446 - 	 Mean:  420.57743 - 	 AQreal:   42.44832  	 
Exp: 5 - 	 Ger: 3 - 	 Best:    5.49511 - 	 Mean:   69.50871 - 	 AQreal:   42.44832  	 
Exp: 5 - 	 Ger: 4 - 	 Best:    5.49511 - 	 Mean:   36.42588 - 	 AQreal:   42.44832  	 
Exp: 5 - 	 Ger: 5 - 	 Best:    5.49511 - 	 Mean:   25.17470 - 	 AQreal:   41.26600  	 
Exp: 5 - 	 Ger: 6 - 	 Best:    5.21811 - 	 Mean:   19.14413 - 	 AQreal:   41.26600  	 
Exp: 5 - 	 Ger: 7 - 	 Best:    5.21811 - 	 Mean:   15.71683 - 	 AQreal:   41.26600  	 
Exp: 5 - 	 Ger: 8 - 	 Best:    4.75484 - 	 Mean:   11.72204 - 	 AQreal:   41.26600  	 
Exp: 5 - 	 Ger: 9 - 	 Best:    4.75484 - 	 Mean:    9.88659 - 	 AQreal:   41.26600  	 
Exp: 5 - 	 Ger: 10 - 	 Best:    3.67912 - 	 Mean:    9.11639 - 	 AQreal:   34.98375  	 
Exp: 5 - 	 Ger: 11 - 	 Best:    3.67912 - 	 Mean:    7.94402 - 	 AQreal:   34.98375  	 
Exp: 5 - 	 Ger: 12 - 	 Best:    3.67912 - 	 Mean:    7.46290 - 	 AQreal:   34.98375  	 
Exp: 5 - 	 Ger: 13 - 	 Best:    3.67912 - 	 Mean:    6.37853 - 	 AQreal:   34.98375  	 
Exp: 5 - 	 Ger: 14 - 	 Best:    3.67912 - 	 Mean:    6.08019 - 	 AQreal:   34.98375  	 
Exp: 5 - 	 Ger: 15 - 	 Best:    3.67912 - 	 Mean:    6.04025 - 	 AQreal:   34.68712  	 
Exp: 5 - 	 Ger: 16 - 	 Best:    3.67912 - 	 Mean:    5.65422 - 	 AQreal:   34.68712  	 
Exp: 5 - 	 Ger: 17 - 	 Best:    3.67912 - 	 Mean:    5.41264 - 	 AQreal:   34.68712  	 
Exp: 5 - 	 Ger: 18 - 	 Best:    3.67912 - 	 Mean:    5.28122 - 	 AQreal:   34.68712  	 
Exp: 5 - 	 Ger: 19 - 	 Best:    3.67912 - 	 Mean:    5.27016 - 	 AQreal:   34.68712  	 
