Exp: 1 - 	 Ger: 74 - 	 Best:    0.01719 - 	 Mean:    0.01964 - 	 AQreal:    0.33959  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.01719 - 	 Mean:    0.01961 - 	 AQreal:    0.32849  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.01719 - 	 Mean:    0.01960 - 	 AQreal:    0.32849  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.01719 - 	 Mean:    0.01955 - 	 AQreal:    0.32849  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.01719 - 	 Mean:    0.01946 - 	 AQreal:    0.32849  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.01719 - 	 Mean:    0.01940 - 	 AQreal:    0.32849  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.01719 - 	 Mean:    0.01936 - 	 AQreal:    0.32028  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.01719 - 	 Mean:    0.01935 - 	 AQreal:    0.32028  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.01719 - 	 Mean:    0.01929 - 	 AQreal:    0.32028  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.01719 - 	 Mean:    0.01928 - 	 AQreal:    0.32028  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.01684 - 	 Mean:    0.01916 - 	 AQreal:    0.32028  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.01684 - 	 Mean:    0.01913 - 	 AQreal:    0.27762  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.01684 - 	 Mean:    0.01910 - 	 AQreal:    0.27762  	 
Exp: 1 - 	 Ger: 87 - 	 Best:    0.01684 - 	 Mean:    0.01908 - 	 AQreal:    0.27762  	 
Exp: 1 - 	 Ger: 88 - 	 Best:    0.01601 - 	 Mean:    0.01898 - 	 AQreal:    0.27762  	 
Exp: 1 - 	 Ger: 89 - 	 Best:    0.01601 - 	 Mean:    0.01896 - 	 AQreal:    0.27762  	 
Exp: 1 - 	 Ger: 90 - 	 Best:    0.01601 - 	 Mean:    0.01893 - 	 AQreal:    0.24565  	 
Exp: 1 - 	 Ger: 91 - 	 Best:    0.01601 - 	 Mean:    0.01891 - 	 AQreal:    0.24565  	 
Exp: 1 - 	 Ger: 92 - 	 Best:    0.01601 - 	 Mean:    0.01887 - 	 AQreal:    0.24565  	 
Exp: 1 - 	 Ger: 93 - 	 Best:    0.01601 - 	 Mean:    0.01887 - 	 AQreal:    0.24565  	 
Exp: 1 - 	 Ger: 94 - 	 Best:    0.01601 - 	 Mean:    0.01882 - 	 AQreal:    0.24565  	 
Exp: 1 - 	 Ger: 95 - 	 Best:    0.01601 - 	 Mean:    0.01876 - 	 AQreal:    0.22680  	 
Exp: 1 - 	 Ger: 96 - 	 Best:    0.01601 - 	 Mean:    0.01876 - 	 AQreal:    0.22680  	 
Exp: 1 - 	 Ger: 97 - 	 Best:    0.01601 - 	 Mean:    0.01876 - 	 AQreal:    0.22680  	 
Exp: 1 - 	 Ger: 98 - 	 Best:    0.01601 - 	 Mean:    0.01873 - 	 AQreal:    0.22680  	 
Exp: 1 - 	 Ger: 99 - 	 Best:    0.01558 - 	 Mean:    0.01853 - 	 AQreal:    0.22680  	 
Exp: 1 - 	 Ger: 100 - 	 Best:    0.01558 - 	 Mean:    0.01844 - 	 AQreal:    0.22760  	 


             Etapa 1

Exp 1 - Aptidao: 0.089442

Aptidão Média: 0.089442

Aptidão Desvio: 0.000000

Tempo Total(1 experimentos): 2272.096099 s


             Etapa 2 - Random

                RMSE

Exp 1 - Treinamento: 0.114370  Validacao: 0.159092  Teste: 0.215212  SRG: 4.357938

Média: Treinamento: 0.114370  Validacao: 0.159092  Teste: 0.215212

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.114370  Validacao: 0.159092  Teste: 0.215212  SRG: 4.357938

                fit

Exp 1 - Treinamento: 66.558026  Validacao: 23.945229  Teste: 21.069095  SRG: 4.357938

Média: Treinamento: 66.558026  Validacao: 23.945229  Teste: 21.069095

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 66.558026  Validacao: 23.945229  Teste: 21.069095  SRG: 4.357938
                RRSE

Exp 1 - Treinamento: 0.334420  Validacao: 0.760548  Teste: 0.789309  SRG: 4.357938

Média: Treinamento: 0.334420  Validacao: 0.760548  Teste: 0.789309

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.334420  Validacao: 0.760548  Teste: 0.789309  SRG: 4.357938

Tempo Total(1 experimentos): 1.576000 s


             Etapa 2 - SRG

                RMSE

Exp 1 - Treinamento: 2.202962  Validacao: 1.780716  Teste: 1.984293  SRG: 3.822589

Média: Treinamento: 2.202962  Validacao: 1.780716  Teste: 1.984293

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 2.202962  Validacao: 1.780716  Teste: 1.984293  SRG: 3.822589

                fit

Exp 1 - Treinamento: -544.149496  Validacao: -751.278594  Teste: -627.755789  SRG: 3.822589

Média: Treinamento: -544.149496  Validacao: -751.278594  Teste: -627.755789

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: -544.149496  Validacao: -751.278594  Teste: -627.755789  SRG: 3.822589
                RRSE

Exp 1 - Treinamento: 6.441495  Validacao: 8.512786  Teste: 7.277558  SRG: 3.822589

Média: Treinamento: 6.441495  Validacao: 8.512786  Teste: 7.277558

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 6.441495  Validacao: 8.512786  Teste: 7.277558  SRG: 3.822589


             Etapa 2 - Otimização dos pesos do reservatório

                RMSE

Exp 1 - Treinamento: 0.025831  Validacao: 0.015608  Teste: 0.033801  SRG: 4.913597

Média: Treinamento: 0.025831  Validacao: 0.015608  Teste: 0.033801

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

