Média: Treinamento: 0.125352  Validacao: 0.125909  Teste: 0.236431

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.125352  Validacao: 0.125909  Teste: 0.236431  SRG: 1.912910

                fit

Exp 1 - Treinamento: 84.143915  Validacao: 87.050844  Teste: 77.064955  SRG: 1.912910

Média: Treinamento: 84.143915  Validacao: 87.050844  Teste: 77.064955

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 84.143915  Validacao: 87.050844  Teste: 77.064955  SRG: 1.912910
                RRSE

Exp 1 - Treinamento: 0.158561  Validacao: 0.129492  Teste: 0.229350  SRG: 1.912910

Média: Treinamento: 0.158561  Validacao: 0.129492  Teste: 0.229350

Desvio: Treinamento: 0.000000  Validacao: 0.000000  Teste: 0.000000

Melhor: Treinamento: 0.158561  Validacao: 0.129492  Teste: 0.229350  SRG: 1.912910

Tempo Total(1 experimentos): 66.237198 s
Exp: 1 - 	 Ger: 1 - 	 Best:    0.17534 - 	 Mean: 20314.46868 - 	 AQreal:    9.11498  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    0.17534 - 	 Mean:  158.43155 - 	 AQreal:    9.11498  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    0.17534 - 	 Mean:   27.67529 - 	 AQreal:    9.11498  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    0.17534 - 	 Mean:   11.30489 - 	 AQreal:    9.11498  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    0.16768 - 	 Mean:    1.78703 - 	 AQreal:    8.75092  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    0.16768 - 	 Mean:    0.18324 - 	 AQreal:    8.75092  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    0.16768 - 	 Mean:    0.17801 - 	 AQreal:    8.75092  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    0.16601 - 	 Mean:    0.17587 - 	 AQreal:    8.75092  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    0.16601 - 	 Mean:    0.17322 - 	 AQreal:    8.75092  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    0.16601 - 	 Mean:    0.17216 - 	 AQreal:    5.47795  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    0.16601 - 	 Mean:    0.17172 - 	 AQreal:    5.47795  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    0.15970 - 	 Mean:    0.16971 - 	 AQreal:    5.47795  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    0.15970 - 	 Mean:    0.16872 - 	 AQreal:    5.47795  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    0.15970 - 	 Mean:    0.16740 - 	 AQreal:    5.47795  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    0.15970 - 	 Mean:    0.16704 - 	 AQreal:    2.31789  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    0.15837 - 	 Mean:    0.16547 - 	 AQreal:    2.31789  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    0.15837 - 	 Mean:    0.16477 - 	 AQreal:    2.31789  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    0.15837 - 	 Mean:    0.16401 - 	 AQreal:    2.31789  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    0.15837 - 	 Mean:    0.16383 - 	 AQreal:    2.31789  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    0.15837 - 	 Mean:    0.16334 - 	 AQreal:    3.48266  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    0.15837 - 	 Mean:    0.16327 - 	 AQreal:    3.48266  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    0.15837 - 	 Mean:    0.16307 - 	 AQreal:    3.48266  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    0.15837 - 	 Mean:    0.16274 - 	 AQreal:    3.48266  	 
