Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
Exp: 1 - 	 Ger: 52 - 	 Best:    0.09002 - 	 Mean:    0.09220 - 	 AQreal:    0.41897  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    0.09002 - 	 Mean:    0.09211 - 	 AQreal:    0.41897  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    0.09002 - 	 Mean:    0.09205 - 	 AQreal:    0.41897  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    0.09002 - 	 Mean:    0.09201 - 	 AQreal:    0.38437  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    0.09002 - 	 Mean:    0.09191 - 	 AQreal:    0.38437  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    0.09002 - 	 Mean:    0.09191 - 	 AQreal:    0.38437  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    0.09002 - 	 Mean:    0.09191 - 	 AQreal:    0.38437  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    0.08975 - 	 Mean:    0.09174 - 	 AQreal:    0.38437  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    0.08906 - 	 Mean:    0.09155 - 	 AQreal:    0.34484  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    0.08906 - 	 Mean:    0.09132 - 	 AQreal:    0.34484  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    0.08906 - 	 Mean:    0.09108 - 	 AQreal:    0.34484  	 
Exp: 1 - 	 Ger: 63 - 	 Best:    0.08683 - 	 Mean:    0.09092 - 	 AQreal:    0.34484  	 
Exp: 1 - 	 Ger: 64 - 	 Best:    0.08683 - 	 Mean:    0.09081 - 	 AQreal:    0.34484  	 
Exp: 1 - 	 Ger: 65 - 	 Best:    0.08683 - 	 Mean:    0.09070 - 	 AQreal:    0.30694  	 
Exp: 1 - 	 Ger: 66 - 	 Best:    0.08683 - 	 Mean:    0.09039 - 	 AQreal:    0.30694  	 
Exp: 1 - 	 Ger: 67 - 	 Best:    0.08683 - 	 Mean:    0.09019 - 	 AQreal:    0.30694  	 
Exp: 1 - 	 Ger: 68 - 	 Best:    0.08651 - 	 Mean:    0.09004 - 	 AQreal:    0.30694  	 
Exp: 1 - 	 Ger: 69 - 	 Best:    0.08651 - 	 Mean:    0.09004 - 	 AQreal:    0.30694  	 
Exp: 1 - 	 Ger: 70 - 	 Best:    0.08651 - 	 Mean:    0.09000 - 	 AQreal:    0.29973  	 
Exp: 1 - 	 Ger: 71 - 	 Best:    0.08651 - 	 Mean:    0.08995 - 	 AQreal:    0.29973  	 
Exp: 1 - 	 Ger: 72 - 	 Best:    0.08651 - 	 Mean:    0.08982 - 	 AQreal:    0.29973  	 
Exp: 1 - 	 Ger: 73 - 	 Best:    0.08651 - 	 Mean:    0.08974 - 	 AQreal:    0.29973  	 
Exp: 1 - 	 Ger: 74 - 	 Best:    0.08651 - 	 Mean:    0.08959 - 	 AQreal:    0.29973  	 
Exp: 1 - 	 Ger: 75 - 	 Best:    0.08651 - 	 Mean:    0.08941 - 	 AQreal:    0.28153  	 
Exp: 1 - 	 Ger: 76 - 	 Best:    0.08647 - 	 Mean:    0.08915 - 	 AQreal:    0.28153  	 
Exp: 1 - 	 Ger: 77 - 	 Best:    0.08647 - 	 Mean:    0.08909 - 	 AQreal:    0.28153  	 
Exp: 1 - 	 Ger: 78 - 	 Best:    0.08647 - 	 Mean:    0.08888 - 	 AQreal:    0.28153  	 
Exp: 1 - 	 Ger: 79 - 	 Best:    0.08647 - 	 Mean:    0.08878 - 	 AQreal:    0.28153  	 
Exp: 1 - 	 Ger: 80 - 	 Best:    0.08647 - 	 Mean:    0.08871 - 	 AQreal:    0.25907  	 
Exp: 1 - 	 Ger: 81 - 	 Best:    0.08500 - 	 Mean:    0.08848 - 	 AQreal:    0.25907  	 
Exp: 1 - 	 Ger: 82 - 	 Best:    0.08500 - 	 Mean:    0.08833 - 	 AQreal:    0.25907  	 
Exp: 1 - 	 Ger: 83 - 	 Best:    0.08500 - 	 Mean:    0.08831 - 	 AQreal:    0.25907  	 
Exp: 1 - 	 Ger: 84 - 	 Best:    0.08500 - 	 Mean:    0.08814 - 	 AQreal:    0.25907  	 
Exp: 1 - 	 Ger: 85 - 	 Best:    0.08500 - 	 Mean:    0.08797 - 	 AQreal:    0.25585  	 
Exp: 1 - 	 Ger: 86 - 	 Best:    0.08396 - 	 Mean:    0.08761 - 	 AQreal:    0.25585  	 
